Start	End	Annotation	Layer	Index
0		Open	Bookmark	
4:48		BP Oil Spill	Bookmark	
6:39		"American Tune" by Charlie Wood	Bookmark	Music not by Shearer
11:45		News from Outside the Bubble	Bookmark	
17:23		News of the Atom	Bookmark	
18:51		News of the Olympic Movement and Radioactivity	Bookmark	
22:39		"National Holiday" by Timbuk 3	Bookmark	Music not by Shearer
26:32		Larry King Live: Dewey Gordon	Bookmark	
29:30		"Who Can I Talk to Tonight" by Dewey Gordon, aka Harry Shearer	Bookmark	Music by Shearer
32:55		News of Inspectors General	Bookmark	
36:19		Is BP any worse than the other oil companies?	Bookmark	
40:12		Excerpt from Stan Freberg Presents the United States of America	Bookmark	
43:54		News of the Godly	Bookmark	News of the Godly
47:11		"Deaf Boys" by Harry Shearer	Bookmark	Music by Shearer
50:29		News of the Warm	Bookmark	
52:41		"110 in the Shade" by John Fogerty	Bookmark	Music not by Shearer
56:20		"Typhoon" by The Bamboos /Close	Bookmark	Music not by Shearer
44:42		<font color="green">Shearer makes the joke "No transparency, just clarity," playing with the idea that clarity allows the Church to have authorship in what it has done rather than open the doors to allow people to see for themselves. An interesting and iconic mark for the change in humor that Shearer does between sketches and news readings is his use of repetition and tone to indicate when something is funny, rather than having to use fiction or exaggeration like with sketches. 	Commentary	
45:20		<font color="green">A tone shift and emphasis on the word "alongside" shows us that the particular point that was funny to Shearer was the fact that the Church would prefer to be working with the authorities. This seems to be funny because in most instances the authorities would be the police or the government, yet the Church would prefer that they live alongside rather than under the law. 	Commentary	
46:00		<font color="green">"Now we know what galls the Vatican" seems to be a reference to the large and deep history that the Vatican has in relation to horrible things it has done, and Shearer seems to think that one of those many horrible things would be able to "gall" them, yet for them it was something done in a police investigation on their behavior. Again, a play with repetition of their own words.	Commentary	
47:00		<font color="green">Shearer then quickly transitions from the "News of the Godly" content to a previously mentioned incident regarding Father Murphy, a Priest from Milwaukee that sexually abused hundreds of deaf children. 	Commentary	
47:15		<font color="green">As we begin to listen, it is interesting to think of the mode and form that Shearer chose to make this song. It includes Georgian chant, a commonly used technique in religious choral music. 	Commentary	
47:30		<font color="green">What is also interesting as we hear the lines "between me and the broom," we are starting to get pieces of imagery. This, unlike the comedy of repetition of news reports on this issue, is a literary creation of Shearer. Now, we are entering a different territory, not one that allows you to make fun of their own words, but one that uses your own words. 	Commentary	Dark Humor
47:42		<font color="green">"And I can be loud" seems like a perfect line for us to truly disect this work as a work of dark humor. Not only is it true to the definition we saw as "joking about cruelty," but it also fits the bits of theory we saw by Breton. In a fictional piece, one that requires Shearer to write with his own words, how can he derive humor without exaggerating or making a show of the sexual abuse of these children? It seems here, whether entirely intentional or subconscious, Shearer makes the important decision to allow dark humor to emphasize the horrible nature of the events, since the play of words isn't possible due to it being his own.	Commentary	Dark Humor
48:20		<font color="green">When we get to the second part of the song, it is also immensely important to recognize that these numbers were included specifically for its relationship to truth. Were the song created for purely entertainment, the song would take the route of being the catchiest or the most shock-value ridden. Like we listened to in the transition from "News of the Godly" to "Deaf Boys," Shearer indicates here that what is most important in this structure is its ability to speak truth. 	Commentary	Dark Humor
50:00		<font color="green">As we continue to hear him speak, we begin to realize a bit of the idea that it couldn't truly be possible for him to have gotten all of that information from the words of the abuser. This turns us to an important point for dark humor, especially in its relationship to fiction, or for continuity sake, fantasy. For satire, the fantasy shown is usually done as an exaggeration, whereas for dark humor, it is best shown through the emphasis of the real, the horrible. This idea alone gives us a great reason for why dark humor is necessary, as the ability to create gives us something more than just the reality of the horrible things in the world. With dark humor, we can create something that not only starts the conversation about these horrible things, but also gives a hand to our intellect in how these horrible things can be related to horrible ideas that supercede specific situations like power, innocence, truth, etc. 	Commentary	Dark Humor
